SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DATA,LINHÓ (21A/09G),,LINHÓ (21A/09G),,LINHÓ (21A/09G),,LINHÓ (21A/09G),,LINHÓ (21A/09G),,LINHÓ (21A/09G),,LINHÓ (21A/09G),,LINHÓ (21A/09G),
,Precipitação anual (mm),FLAG,Precipitação diária (mm),FLAG,Precipitação diária máxima anual (mm),FLAG,Precipitação horária (mm),FLAG,Precipitação mensal (mm),FLAG,Velocidade do vento horária (m/s),FLAG,Velocidade do vento máxima horária (m/s),FLAG,Velocidade do vento média diária (m/s),FLAG
1/1/2020 0:00,,,,,,,0,,,,0.8,,1.7,,,
1/1/2020 1:00,,,,,,,0,,,,0.7,,1.3,,,
1/1/2020 2:00,,,,,,,0,,,,0.6,,1.3,,,
1/1/2020 3:00,,,,,,,0,,,,0.8,,1.7,,,
1/1/2020 4:00,,,,,,,0,,,,1.1,,1.9,,,
1/1/2020 5:00,,,,,,,0,,,,0.7,,1.4,,,
1/1/2020 6:00,,,,,,,0,,,,0.6,,1.5,,,
1/1/2020 7:00,,,,,,,0,,,,0.7,,1.3,,,
1/1/2020 8:00,,,,,,,0,,,,0.2,,0.9,,,
1/1/2020 9:00,,,0,(vau),,,0,,,,0.1,,0.7,,0.6,
1/1/2020 10:00,,,,,,,0,,,,0.2,,0.9,,,
1/1/2020 11:00,,,,,,,0,,,,0.5,,1.4,,,
1/1/2020 12:00,,,,,,,0,,,,0.7,,2.3,,,
1/1/2020 13:00,,,,,,,0,,,,0.6,,1.7,,,
1/1/2020 14:00,,,,,,,0,,,,0.5,,1.9,,,
1/1/2020 15:00,,,,,,,0,,,,0.7,,2.3,,,
1/1/2020 16:00,,,,,,,0,,,,0.4,,1.7,,,
1/1/2020 17:00,,,,,,,0,,,,0.2,,1.5,,,
1/1/2020 18:00,,,,,,,0,,,,0.1,,0.8,,,
1/1/2020 19:00,,,,,,,0,,,,0,,0.4,,,
1/1/2020 20:00,,,,,,,0,,,,0.4,,0.9,,,
1/1/2020 21:00,,,,,,,0,,,,0.5,,0.9,,,
1/1/2020 22:00,,,,,,,0,,,,0.3,,1,,,
1/1/2020 23:00,,,,,,,0,,,,0.1,,0.5,,,
2/1/2020 0:00,,,,,,,0,,,,0,,0,,,
2/1/2020 1:00,,,,,,,0,,,,0,,0,,,
2/1/2020 2:00,,,,,,,0,,,,0.1,,0.8,,,
2/1/2020 3:00,,,,,,,0,,,,0.1,,1,,,
2/1/2020 4:00,,,,,,,0,,,,0.1,,1,,,
2/1/2020 5:00,,,,,,,0,,,,0,,0.6,,,
2/1/2020 6:00,,,,,,,0,,,,0,,0.6,,,
2/1/2020 7:00,,,,,,,0,,,,0.1,,1,,,
2/1/2020 8:00,,,,,,,0,,,,0.1,,1.2,,,
2/1/2020 9:00,,,0,(vau),,,0,,,,0.1,,0.9,,0.2,
2/1/2020 10:00,,,,,,,0,,,,0.1,,0.8,,,
2/1/2020 11:00,,,,,,,0,,,,0.2,,0.9,,,
2/1/2020 12:00,,,,,,,0,,,,0.3,,1.3,,,
2/1/2020 13:00,,,,,,,0,,,,0.6,,1.7,,,
2/1/2020 14:00,,,,,,,0,,,,0.3,,1.6,,,
2/1/2020 15:00,,,,,,,0,,,,0.3,,1.7,,,
2/1/2020 16:00,,,,,,,0,,,,0.2,,1,,,
2/1/2020 17:00,,,,,,,0,,,,0.1,,0.6,,,
2/1/2020 18:00,,,,,,,0,,,,0,,0.6,,,
2/1/2020 19:00,,,,,,,0,,,,0,,0.4,,,
2/1/2020 20:00,,,,,,,0,,,,0.2,,0.9,,,
2/1/2020 21:00,,,,,,,0,,,,0,,0.4,,,
2/1/2020 22:00,,,,,,,0,,,,0.1,,1,,,
2/1/2020 23:00,,,,,,,0,,,,0.1,,0.7,,,
3/1/2020 0:00,,,,,,,0,,,,0.1,,0.6,,,
3/1/2020 1:00,,,,,,,0,,,,0.1,,1,,,
3/1/2020 2:00,,,,,,,0,,,,0.1,,0.8,,,
3/1/2020 3:00,,,,,,,0,,,,0,,0.7,,,
3/1/2020 4:00,,,,,,,0,,,,0,,0.5,,,
3/1/2020 5:00,,,,,,,0,,,,0.1,,0.7,,,
3/1/2020 6:00,,,,,,,0,,,,0,,0,,,
3/1/2020 7:00,,,,,,,0,,,,0,,0,,,
3/1/2020 8:00,,,,,,,0,,,,0.1,,0.8,,,
3/1/2020 9:00,,,0,(vau),,,0,,,,0.1,,0.6,,0.1,
3/1/2020 10:00,,,,,,,0,,,,0,,0.4,,,
3/1/2020 11:00,,,,,,,0,,,,0.2,,1.3,,,
3/1/2020 12:00,,,,,,,0,,,,0.5,,1.7,,,
3/1/2020 13:00,,,,,,,0,,,,0.7,,2.5,,,
3/1/2020 14:00,,,,,,,0,,,,0.8,,1.9,,,
3/1/2020 15:00,,,,,,,0,,,,0.7,,1.7,,,
3/1/2020 16:00,,,,,,,0,,,,1.1,,2.5,,,
3/1/2020 17:00,,,,,,,0,,,,0.5,,1.5,,,
3/1/2020 18:00,,,,,,,0,,,,0.2,,1,,,
3/1/2020 19:00,,,,,,,0,,,,0,,0,,,
3/1/2020 20:00,,,,,,,0,,,,0.1,,0.8,,,
3/1/2020 21:00,,,,,,,0,,,,0,,0.3,,,
3/1/2020 22:00,,,,,,,0,,,,0,,0.4,,,
3/1/2020 23:00,,,,,,,0,,,,0.1,,0.7,,,
4/1/2020 0:00,,,,,,,0,,,,0.3,,1.4,,,
4/1/2020 1:00,,,,,,,0,,,,0,,0.7,,,
4/1/2020 2:00,,,,,,,0,,,,0.1,,1.3,,,
4/1/2020 3:00,,,,,,,0,,,,0.6,,1.8,,,
4/1/2020 4:00,,,,,,,0,,,,1.1,,2.9,,,
4/1/2020 5:00,,,,,,,0,,,,2,,4.3,,,
4/1/2020 6:00,,,,,,,0,,,,2.4,,5.3,,,
4/1/2020 7:00,,,,,,,0,,,,2.1,,4.4,,,
4/1/2020 8:00,,,,,,,0,,,,1.7,,3.7,,,
4/1/2020 9:00,,,0,(vau),,,0,,,,1.2,,2.5,,0.7,
4/1/2020 10:00,,,,,,,0,,,,1.2,,2.7,,,
4/1/2020 11:00,,,,,,,0,,,,1.2,,2.6,,,
4/1/2020 12:00,,,,,,,0,,,,1.1,,2.9,,,
4/1/2020 13:00,,,,,,,0,,,,1,,3.7,,,
4/1/2020 14:00,,,,,,,0,,,,1.1,,2.9,,,
4/1/2020 15:00,,,,,,,0,,,,1.1,,2.4,,,
4/1/2020 16:00,,,,,,,0,,,,0.9,,2,,,
4/1/2020 17:00,,,,,,,0,,,,0.7,,2.4,,,
4/1/2020 18:00,,,,,,,0,,,,0.6,,1.5,,,
4/1/2020 19:00,,,,,,,0,,,,0.8,,1.7,,,
4/1/2020 20:00,,,,,,,0,,,,1,,2,,,
4/1/2020 21:00,,,,,,,0,,,,1,,2,,,
4/1/2020 22:00,,,,,,,0,,,,0.9,,1.6,,,
4/1/2020 23:00,,,,,,,0,,,,0.9,,2.5,,,
5/1/2020 0:00,,,,,,,0,,,,1,,2.6,,,
5/1/2020 1:00,,,,,,,0,,,,0.9,,1.7,,,
5/1/2020 2:00,,,,,,,0,,,,0.8,,1.7,,,
5/1/2020 3:00,,,,,,,0,,,,1,,2.4,,,
5/1/2020 4:00,,,,,,,0,,,,0.9,,1.8,,,
5/1/2020 5:00,,,,,,,0,,,,1.2,,2.4,,,
5/1/2020 6:00,,,,,,,0,,,,1.3,,2.6,,,
5/1/2020 7:00,,,,,,,0,,,,0.3,,1.7,,,
5/1/2020 8:00,,,,,,,0,,,,0.3,,1.3,,,
5/1/2020 9:00,,,0,(vau),,,0,,,,0.7,,1.8,,0.9,
5/1/2020 10:00,,,,,,,0,,,,0.9,,2.6,,,
5/1/2020 11:00,,,,,,,0,,,,1,,2.8,,,
5/1/2020 12:00,,,,,,,0,,,,1,,2.3,,,
5/1/2020 13:00,,,,,,,0,,,,1,,2.5,,,
5/1/2020 14:00,,,,,,,0,,,,0.9,,2.7,,,
5/1/2020 15:00,,,,,,,0,,,,0.9,,2.6,,,
5/1/2020 16:00,,,,,,,0,,,,0.9,,2.3,,,
